,BonusAmount,action,gambleInt,gambleMag,gambleRT,indexOf,outcomeRT,phase,response,standardGamble,status,template,templates,trialNumber,uniqueid,viewTime
0,,Begin,,,,,,INSTRUCTIONS,,,,,"[u'instructions/instruct-1.html', u'instructions/instruct-2.html', u'instructions/instruct-3.html', u'instructions/instruct-ready.html']",,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
1,,NextPage,,,,0.0,,INSTRUCTIONS,,,,instructions/instruct-1.html,,,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,9041.0
2,,NextPage,,,,1.0,,INSTRUCTIONS,,,,instructions/instruct-2.html,,,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,17010.0
3,,NextPage,,,,2.0,,INSTRUCTIONS,,,,instructions/instruct-3.html,,,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,43484.0
4,,FinishInstructions,,,,3.0,,INSTRUCTIONS,,,,instructions/instruct-ready.html,,,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,35161.0
5,,,2.0,,,,,,fail,5.0,,,,1.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
6,,,2.0,,0.0,,348.0,,fail,3.0,,,,2.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
7,,,0.0,,0.0,,347.0,,fail,5.0,,,,3.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
8,,,0.0,,0.0,,339.0,,fail,6.0,,,,4.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
9,,,6.0,,2426.0,,0.0,,gamble,2.0,,,,5.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
10,,,6.0,,0.0,,381.0,,gamble,6.0,,,,6.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
11,,,0.0,,0.0,,348.0,,gamble,6.0,,,,7.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
12,,,2.0,,0.0,,296.0,,gamble,6.0,,,,8.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
13,,,2.0,,0.0,,368.0,,gamble,4.0,,,,9.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
14,,,0.0,,0.0,,377.0,,gamble,6.0,,,,10.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
15,,,6.0,,0.0,,437.0,,gamble,5.0,,,,11.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
16,,,2.0,,0.0,,369.0,,gamble,1.0,,,,12.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
17,,,0.0,,0.0,,516.0,,gamble,6.0,,,,13.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
18,,,0.0,,0.0,,463.0,,gamble,5.0,,,,14.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
19,,,2.0,,0.0,,396.0,,gamble,2.0,,,,15.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
20,,,0.0,,0.0,,418.0,,gamble,5.0,,,,16.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
21,,,6.0,,0.0,,354.0,,gamble,4.0,,,,17.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
22,,,0.0,,0.0,,498.0,,gamble,5.0,,,,18.0,A256FHXGSY0E5D:339ANSOTR524NT3D53K4J58CK6DKIG,
